HumL,HumR,RadL,RadR,FemL,FemR,TibL,TibR,IBL,IBR,AceL,AceR,BIB,sex
308.5,,229,,443,452,,365.5,162,161,52.56,52.24,274,M
,,,,386,383,283,281.5,,,49.21,50.18,266,F
311,310,,221.5,415,415.5,330,331.5,,,,,,M
289,298,223.5,227,398,400,312,320.5,,145,50.3,49.8,240.5,M
295,302,208,205,395,396,306,305,160,155,45.6,44.83,285.5,F
270.5,281,196.5,,,375,298,293.5,,,45.7,47.04,,F
314.5,306.5,237,226,430,431,351,352,,,,,,M
318,322,234,238,434.5,437,361,364,158,156,50.74,52.39,261,M
304.5,307,233,235,402.5,407,338,338,160,161,52.18,52.45,269,M
287,292.5,210.5,214,390,386,311,315,160,160,47.66,47.66,283,F
281,283,215,,385,403.5,315,317.5,,,48.83,49.7,254,M
278,285,,218.5,397.5,395,319,325.5,157,155,55.16,55.13,274,M
,275,197.5,195,376,378,288,287,149,150,44.79,44.49,246.5,F
269,272,198.5,200,369,367,298,296,145,147,47.69,47.8,254,F
305,298,223,220.5,393,397,316,312.5,146,144,52.04,51.55,256,M
292.5,290.5,,208.5,405.5,402.5,314,315,144,145,44.39,44.63,264,F
305.5,310.5,228.5,227,421,421,337,333,162,165,52.3,53.08,295,M
,316,233.5,236,450,452.5,347,346,,,52.03,51.3,274,M
280,284.5,203,203.5,401.5,400,308.5,306.5,154,151,47.41,45.31,260,F
320,326,,244,431,431,357,357,155,155,52.26,50.43,289.5,M
287,291,221,224,407.5,407,320,324,166,168,52.87,52.86,279,M
352.5,361,259,263,513.5,513,377,381,171,169,56.04,56.38,287,M
284.5,287,213,217,388,384,305,302,,154,45.77,44.86,272,F
272,271.5,201,202.5,376,374,,,148,,42.25,40.99,255.5,F
275,,220,219,385,382.5,307,305,155,154,47.17,46.8,264,M
,,,217.5,396,389,316,314,170,167,49.81,49.44,283,F
294.5,298,228,224,403,407,318,323,,,50.98,52.17,269,M
,286,209,212,391,395.5,311,310,148,150,47.82,48.74,277,F
292.5,298,216,221,396,402,319,319,161,161,50.37,51.04,264,M
281,280.5,201,,374,370,293,291,154,151,43.74,44.62,265,F
290,297,204,203.5,386,386,315,314.5,153,151,45.49,45.56,263,F
287,292,,217,421,415,335,335,160,163,,53.35,297.5,M
272.5,274,196,,390,389,299,297,,,50.27,50.33,264.5,M
274,282,199,202,399,399,329.5,332,171,173,52.75,53.3,294.5,M
298,293,232,233,433.5,428,344,345,167,168,53.02,52.66,288,M
268.5,281.5,196,197,369.5,374.5,299.5,302,135,138,46.31,45.86,252,F
271.5,282.5,,204,392,395.5,339,337,,156,49.81,51.14,271,M
316,325,239,236.5,443.5,445,354,359.5,161,,54.89,55.04,293,M
249.5,254.5,194.5,199.5,365,369.5,298,291.5,,,47.02,47.88,242,F
266,274,202,203,375.5,373,301,306,142,141,46.09,46.39,249,F
275,282.5,197,196,385,378,301,298,,,46.17,47.45,260,F
292,299.5,218,213.5,414,418,345.5,347,149,146,48.62,47.24,268.5,M
306,309.5,233,,430,433.5,354,355,159,160,50.28,49.86,276,M
302,,233,,429,433,346,348.5,164,166,51.91,52.67,267,M
290.5,297,213.5,,409.5,405,332,333,,,49.74,49.62,262.5,M
304.5,309,230,230.5,428,,355,,,148,52.16,52.94,260,M
310,316,221.5,221,445,440.5,337,344,,156,53.88,54.39,270.5,M
278,284,205,208,398,394,317,320,146,145,47.15,47.36,252.5,F
269,278,202.5,207,386,388.5,311,306,145,149,47.47,46.58,265,F
281,290,214,216,402,399.5,323,326,154,153,46.84,46.42,273,M
304,308,236,235,438,434,350,351,159,162,54.87,55.96,273,M
281,288.5,219,220.5,418.5,423,339,339,152,152,49.62,50.04,281,M
309,315,239.5,240.5,445,446,362,363,159,160,51.45,52.22,281.5,M
279,285,205,205,406,406.5,333,330,,149,49.57,49.06,272.5,M
292.5,294,,220.5,415,418,347,345,157,156,51.39,51.52,253,M
266.5,273,190,192,380,378,294,294,137,140,44.73,45.15,247,F
288.5,297.5,224,229,430,438,360,361,166,164,49.53,50.08,289.5,M
296,300.5,223.5,225,423,423,341,340,157,157,53.98,55.08,275.5,M
318,327,231,235,447,448,378,381.5,167,170,53.99,53.98,294,M
275.5,282,203,201,392,396,314.5,311.5,148,147,45.49,45.61,257.5,F
288,295.5,212.5,215.5,,,,,147,148,50.36,49.78,281,F
283,292.5,209,213,406,408,336,337,153,152,47.25,47.96,260,F
284,292,230.5,226,444,446,360,357,163,164,46.45,47.51,274.5,M
285,292,222.5,220,425,425,342,342,156,155,50.91,50.34,283,F
289,293.5,,220,417,414,335,,144,143,49.88,50.51,268,F
303,308,231,236,441.5,440,368,365,156,158,51.35,52.05,270.5,M
264.5,264,194,194,374.5,379,302,306,147,147,49.48,48.8,243,F
340,344,253,247,494,494,403,397,168,,58.74,60.49,279,M
274.5,280.5,198,200,391,390,327,325,148,147,48.16,47.39,274,F
297,306,219.5,223,427,424,341,340.5,151,148,47.53,48.86,264.5,F
282,287,196,195.5,395,389,320.5,319,150,149,48.17,47.58,265,F
278,284,195.5,,,382,,299,141,144,46.56,46.13,268,F
285,287.5,197,198.5,403,407,337,337.5,154,,48.34,47.53,283,F
277,283,193.5,202.5,388,386,321,321,151,149,46.79,47.23,268,F
276,279,222.5,223,400.5,401,328,329,152,152,47.6,48.67,262,F
272.5,283,199,202,387,391,311,314.5,147,146,45.1,45.42,258,F
273,281,189.5,194,385,386.5,313,,149,148,47.33,47.43,260,F
274.5,284,196,202,396,397.5,,306,155,156,50.19,50.69,282,F
279,284,199,200,387,391,326,317,147,145,47.08,46.68,261,F
283,290,210.5,212,403,404,336,334,151,150,48.4,49.2,276,F
293,299,,210,403.5,407,,311,144,145,,48.72,,F
297,302,,,407,409,324,326,160,155,,52.43,268.5,M
,273.5,206,202,378,380,,302,,,45.18,44.33,,F
279,,,,,,354.5,354,133,133,44.08,44.15,222,M
277,278,221,222,382,381.5,322.5,320.5,127,124,41.95,41.61,213.5,F
276,283,228,230,399,398,327,328,130,130,43.79,45.16,220,M
291,300.5,223,224,423,425,342,343,144,145,44.7,44.63,258.5,M
294,297,230.5,231,402,398.5,339,340,141,145,46.77,46.1,251.5,M
,275.5,,,392,393,320,317.5,144,142,45.73,46.15,254.5,F
303.5,306.5,245.5,248,418.5,416,359,355,153,155,49.49,49.56,270,M
292.5,296.5,226,229,419,419,342,341,156,154,49.93,50.52,256.5,M
,306,,242,420,419,365,362,154,153,49.31,48.4,260.5,M
,302,236.5,239,429,427,360,378,136,138,44.7,42.62,238,M
,317,,259.5,,435.5,,375,149,150,50.43,49.58,267.5,M
277.5,282,219,221,397.5,393.5,338,338.5,150,,44.63,,260,F
272,278.5,214,216,399,393,318,323,147,146,45.26,44.97,273,F
,306,,245,436,436,371,372.5,,,47.51,47.5,251,M
337,336.5,257,259.5,465,461,390,393,152,153,53.5,51.79,260,M
274,,216,215.5,380,381.5,,325,140,141,41.73,43.72,251,F
303,304.5,229,230.5,,429,,357,143,146,50.08,50.5,252,M
295,290.5,231,231,390,395.5,349,347,140,141,46.38,48.77,264.5,M
328,330.5,269,269,458.5,453,390,390,158,160,52.01,51.63,284,M
,,256.5,252.5,459,454,388,383,158,156,,49.77,291,M
304,303,241,242.5,419.5,418,355,,146,145,49.55,50.82,264.5,M
301,301,228.5,228,416,418,353,354,146,147,45.8,46.38,283,M
274,271,206,203,,381,,,134,130,43.21,43.58,247.5,F
284,286.5,219,222,400,,338,340,140,142,47.91,46.95,246,M
268,278.5,214,219,374,375,323,320,128,131,42.9,42.66,245,F
321,321,251.5,253,446,441,389,388,153,,53.14,51.02,280,M
326.5,328,258.5,261,453,441,382,380,164,162,53,51.5,296,M
,323.5,,252,,456,395.5,394,159,160,52.2,51.4,270,M
318.5,315,253,252,452,450.5,371,370,155,155,51.55,52.27,269,M
298,304,,240,435,436,366.5,365,165,164,52.28,52.73,275,M
324,328,245,254,451,448,399,399,144,146,46.78,46.14,237.5,M
308,308,233,233,421,420,354,352,137,136,42.11,42.13,250.5,F
318,,250,,430,431,380,383,145,147,46.71,46.73,251,M
294,294,228,225.5,,,,,142,145,47.62,47.61,257,M
298,298.5,223,227.5,424,424,357,360,,,47.26,47.26,277.5,F
285,288.5,216,215,391,387.5,320,316,141,136,44.16,44.8,261.5,M
275.5,282,,218,382,383.5,320,324,147,150,43.78,43.64,279.5,F
288,288.5,218.5,222,408,407,327,328,,,43.54,45.14,264.5,F
312.5,314.5,248,248,438,441,362,365,145,147,50.97,50.84,268.5,M
,326,255,255.5,449,451,384,382,153,152,51.8,52.36,265,M
,290,216,217.5,391,397.5,332,330.5,144,145,46.51,46.19,232,F
274,,194.5,,376,374,,306,135,137,43.59,42.42,234.5,F
329,,250.5,254.5,444,444,391,390,160,158,48.75,47.8,273,M
251,261,,206,370,374.5,304,298,136,135,43.95,42.67,248.5,F
275,279.5,211.5,215,395,389,332,331.5,128,129,40.23,41.3,230.5,F
288,296,219,223,425.5,430.5,352.5,357,,136,45.26,45.38,271,F
308.5,310.5,242,242,437,440.5,360,362,149,158,51.4,51.75,269,M
297,301.5,240,243,424,420.5,352,352,149,146,43.96,46.06,249,M
298,303,227,231,427.5,423,365,368,145,145,44.86,46.64,263,M
293,297,226,231.5,415,417,341,344,137,,49.64,50.54,231,M
271,279,,215,381,380.5,,,130,132,42.21,43.41,224,F
293,310,239.5,244,418,420.5,355,356,151,150,48.02,47.03,240.5,M
303.5,307.5,,231,425,426,353,358,140,141,49.45,49.02,254.5,M
279,280.5,214,215,404,403,341,342,140,142,48.52,47.96,253,M
,290,,231,427,418,346,344,136,134,44.01,44.31,235,F
294,298,,233,428,427,355.5,357,151,151,48.64,48.25,263,M
325.5,325,258,260,454,452.5,396,394,157,156,48.14,47.78,266.5,M
312,315.5,239.5,242,428,430,358,359,152,149,48.13,49.86,269,M
,,247,248,469,467,,388,161,165,48.54,49.56,262,M
292.5,304,,225,429,427,354,352,146,148,46.99,47.05,233.5,F
262.5,268,194.5,198.5,375,377,307,307,136,135,39.13,39.34,227.5,F
242,247,193,,361,362,300,398,,,43.08,43.57,249,F
267,275,207,209.5,373,370.5,311,312,135,134,,45.78,235,M
264,268,205.5,206,378,375,319,318,135,134,40.65,41.5,242,F
273,279,212,215.5,410,403,340,336,139,137,45.5,46.13,232,F
313,318,239,243,432,437,373,373,154,152,47.85,48.02,278,F
304,300,,,440,454,370,380,140,143,50.66,55.41,242.5,M
301,310,,,428,428,358,358,146,147,52.1,52.82,250,M
302,308,239,248.5,438,438,352.5,353,162,161,52.82,52.47,268,M
289.5,295,232,231,418,420,348,349,141,143,45.35,46.02,232,M
295,295,221,224.5,435,430,358,359,145,142,46.34,45.95,257,F
315,,249,,453,446,,379,143,,,46.12,247,F
320,323.5,244.5,247,465.5,465,370,371,,,,,,M
261,264,193,190,366.5,363,299,292,130,130,44.74,43.46,246,F
289,290,216,,410,,327,,139,,49.47,49.28,245,M
288,288.5,,235.5,427,427,360,,128,130,45.07,46.49,204,M
313.5,322.5,239,246,466,457,388,389,149,146,48.36,49.19,238,M
